ID,EGRID
1086/1116/1,CH701335704604
1086/1116/2,CH761346357379
1086/1116/3,CH394613873536
1086/1116/4,CH981746351392
1086/1116/5,CH121394463583
1086/1228/1,CH688646358109
1086/1498/1,CH544583827536
1086/1498/2,CH752083814513
1086/1498/3,CH384583458080
1086/1502/1,CH268146353206
1086/1502/2,0000000000
1086/1502/3,CH708235374683
1086/1502/4,0000000000
1086/1502/5,CH794682373511
1086/1502/7,0000000000
1086/1502/8,CH928231463567
1086/1505/1,CH469983453259
1086/1506/1,0000000000
1086/1509/1,0000000000
1086/1509/2,0000000000
1086/1509/3,0000000000
1086/1509/4,0000000000
1086/1509/5,0000000000
1086/1509/6,0000000000
1086/1509/7,0000000000
1086/1509/8,0000000000
1086/1510/1,CH705630985259
1086/1510/2,0000000000
1086/1510/3,CH388652305697
1086/1510/4,CH589052305618
1086/1510/5,0000000000
1086/1510/6,CH125691523003
1086/1510/7,CH125600523046
1086/1510/8,CH873056095296
1086/1510/9,CH543052569403
1086/1510/10,CH795256093075
1086/1510/11,CH595256083049
1086/1510/12,CH865652309584
1086/1514/1,0000000000
1086/1514/2,0000000000
1086/1519/1,CH567410945622
1086/1521/1,CH710748028932
1086/1523/1,0000000000
1086/1523/2,0000000000
1086/1523/3,0000000000
1086/1523/5,CH430878547518
1086/1528/1,CH328965020733
1086/1528/2,CH330289076572
1086/1528/3,CH610752028930
1086/1538/1,0000000000
1086/1574/1,CH307635204644
1086/1575/1,0000000000
1086/1586/2,CH134676352790
1086/1587/1,CH320758834589
1086/1587/2,CH838307453518
1086/1593/1,CH107894971011
1086/1593/2,CH319433107578
1086/1593/3,CH952210759432
1086/1596/1,CH292777206086
1086/1596/2,CH349694779380
1086/1602/1,CH534698358190
1086/1707/1,CH355746113591
1086/1964/1,CH646365853795
1086/1964/2,CH776385386542
1086/1999/1,0000000000
1086/2000/3,0000000000
1086/2001/1,CH134676352097
1086/2001/2,CH307635434672
1086/2001/3,CH127620463518
1086/2001/4,CH813590469881
1086/2001/5,CH294676423526
1086/2001/6,CH984246357633
1086/2001/7,CH973576094644
1086/2001/8,CH980946357651
1086/2002/1,CH713582468704
1086/2003/1,CH867646354917
1086/2005/1,CH728782463526
1086/2007/1,CH113522467680
1086/2007/2,CH113522467680
1086/2007/5,CH113522467680
1086/2007/6,CH113522467680
1086/2008/1,0000000000
1086/2009/1,CH157346803505
1086/2009/2,CH157346803505
1086/2011/1,CH373589574684
1086/2011/2,CH168046357326
1086/2012/1,CH968746351907
1086/2012/2,CH350546873506
1086/2012/3,CH350546873506
1086/2013/2,CH685746357621
1086/2013/4,CH667646352512
1086/2014/1,CH382046357655
1086/2015/1,CH708735114626
1086/2016/1,CH943546762091
1086/2016/2,0000000000
1086/2017/1,CH543546870911
1086/2017/2,CH543546870911
1086/2018/1,CH181446357691
1086/2018/2,CH650246873582
1086/2019/1,CH394687173565
1086/2020/1,CH969346352335
1086/2020/2,CH288246358753
1086/2021/1,CH334687351928
1086/2025/1,CH386746357647
1086/2025/2,CH373576674674
1086/2026/1,CH407635474626
1086/2028/1,CH356083714569
1086/2028/2,CH598390854518
1086/2031/1,CH973588994654
1086/2032/1,0000000000
1086/2032/2,CH894688123595
1086/2038/1,CH408835694624
1086/2039/1,CH673576604690
1086/2042/1,CH782046357616
1086/2044/1,CH480546358430
1086/2044/2,CH567646355417
1086/2045/1,CH628458463566
1086/2051/1,CH834679353511
1086/2051/2,CH853546793520
1086/2052/1,CH529796463586
1086/2053/1,CH134697355369
1086/2053/2,CH208035154682
1086/2054/1,CH669746359158
1086/2070/1,CH834682352690
1086/2070/2,CH856946433583
1086/2072/1,CH294687893577
1086/2073/1,CH429700463514
1086/2073/2,CH434697350020
1086/2074/1,CH180646358705
1086/2074/2,CH143546879957
1086/2074/3,CH334687351730
1086/2076/1,CH281746358762
1086/2076/2,CH251746873507
1086/2076/3,CH334687351730
1086/2091/1,CH827770975701
1086/2096/1,
1086/2100/1,0000000000
1086/2111/1,CH840702099248
1086/2167/1,0000000000
1086/2170/1,CH334687350641
1086/2180/1,0000000000
1086/2218/1,0000000000
1086/2224/1,CH550810709476
1086/2234/1,CH558146183533
1086/2234/2,0000000000
1086/2242/1,CH133275060108
1086/2247/1,
1086/2249/1,0000000000
1086/2251/1,0000000000
1086/2255/1,CH113061522096
1086/2271/1,0000000000
1086/2277/1,CH457199771789
1086/2295/1,0000000000
1086/2310/1,CH728678834565
1086/2311/1,0000000000
1086/2312/1,CH927155523038
1086/2324/1,0000000000
1086/2335/1,CH767807394648
1086/2336/1,CH998378091257
1086/2349/1,
1086/2357/1,CH935089357926
1086/2388/1,
1086/2390/1,CH916334658542
1086/2392/1,CH627779660239
1086/2395/1,CH110753029588
1086/2396/1,CH768802074715
1086/2396/2,CH870788470274
1086/2399/1,0000000000
1086/2399/2,CH813042527175
1086/2399/3,CH800730275209
1086/2453/1,CH210539347759
1086/2453/2,CH867734053904
1086/2500/2,0000000000
1086/2670/1,CH840011770638
1086/2670/2,CH831177005292
1086/3000/2,CH867891560128
1086/3000/3,CH439178560077
1086/3000/6,0000000000
1086/3068/1,0000000000
1086/3075/1,CH354199789180
1086/3075/2,CH939978910863
1086/3075/3,CH149199713721
1086/3075/4,CH153799719183
1086/3076/1,CH167789978309
1086/3078/1,CH248817727586
1086/3078/3,CH491772758843
1086/3078/4,CH148817720395
1086/3080/1,CH410473957714
1086/3080/2,CH627713950459
1086/3080/4,CH507704199585
1086/3080/5,CH639577041353
1086/3080/7,CH570477199556
1086/3080/8,CH651995770419
1086/3080/9,CH370477199527
1086/3080/10,CH399577190421
1086/3080/11,CH387295047748
1086/3080/12,CH699577210410
1086/3080/13,CH310439957763
1086/3080/14,CH570477739588
1086/3080/15,CH387795047710
