ID,EGRID,fid,Art,BFSNr,GWR_EGID,Check_GreenSpace,area_m2
TEST-00894,CH619420107989,6012210359,Acker_Wiese_Weide,2254.0,,Green space (soil-covered),5147.008764992318
TEST-00458,CH629166109448,6012224851,Acker_Wiese_Weide,2138.0,,Green space (soil-covered),11.881085149473469
TEST-00458,CH629166109448,6012225078,uebrige_befestigte,2138.0,,Not green space,4.729051750932121
TEST-00458,CH629166109448,6012581948,Strasse_Weg,2138.0,,Not green space,0.08002759763589971
TEST-00042,CH579491531005,6012224934,Gartenanlage,2138.0,,Green space (soil-covered),399.8659281497551
TEST-00042,CH579491531005,6012224941,Acker_Wiese_Weide,2138.0,,Green space (soil-covered),2.4386877744768127
TEST-00042,CH579491531005,6012225842,Gebaeude,2138.0,1514707,Not green space,92.25767650211598
TEST-00042,CH579491531005,6012225881,uebrige_befestigte,2138.0,,Not green space,153.81092526475302
TEST-00042,CH579491531005,6012581565,Strasse_Weg,2138.0,,Not green space,2.487534312629819
TEST-00398,CH253710749462,6012368137,uebrige_befestigte,2097.0,,Not green space,22.459804877797662
TEST-00398,CH253710749462,6012367945,uebrige_befestigte,2097.0,,Not green space,5.851223913723977
TEST-00398,CH253710749462,6012367853,Gebaeude,2097.0,1507937,Not green space,192.70358670861606
TEST-00114,CH831072941417,6012555869,Strasse_Weg,2198.0,,Not green space,0.0012520613244149104
TEST-00114,CH831072941417,6012557495,Strasse_Weg,2198.0,,Not green space,0.0032984115303440475
TEST-00114,CH831072941417,6012385032,Gartenanlage,2198.0,,Green space (soil-covered),0.0022285120366012535
TEST-00114,CH831072941417,6012384552,uebrige_befestigte,2198.0,,Not green space,21.09019046210357
TEST-00114,CH831072941417,6012540205,Verkehrsinsel,2197.0,,Not green space,1.2634531752882487
TEST-00114,CH831072941417,6012384593,Gartenanlage,2198.0,,Green space (soil-covered),0.0058336531183913465
TEST-00114,CH831072941417,6012384597,Trottoir,2198.0,,Not green space,992.531290803097
TEST-00114,CH831072941417,6012384096,Trottoir,2198.0,,Not green space,0.30881343887394397
TEST-00114,CH831072941417,6012384614,Gartenanlage,2198.0,,Green space (soil-covered),0.010683315361347923
TEST-00114,CH831072941417,6012384102,Gartenanlage,2198.0,,Green space (soil-covered),130.48439640385243
TEST-00114,CH831072941417,6012384119,Gartenanlage,2198.0,,Green space (soil-covered),0.004345530921468676
TEST-00114,CH831072941417,6012385169,uebrige_humusierte,2198.0,,Green space (soil-covered),15.050547822413137
TEST-00114,CH831072941417,6012385170,uebrige_humusierte,2198.0,,Green space (soil-covered),20.274534002186822
TEST-00114,CH831072941417,6012385171,uebrige_humusierte,2198.0,,Green space (soil-covered),31.564189508434357
TEST-00114,CH831072941417,6012540325,Verkehrsinsel,2198.0,,Not green space,16.722521500493897
TEST-00114,CH831072941417,6012384678,Acker_Wiese_Weide,2198.0,,Green space (soil-covered),0.0025255578861180794
TEST-00114,CH831072941417,6012554662,Strasse_Weg,2198.0,,Not green space,3518.106854834939
TEST-00114,CH831072941417,6012540331,Verkehrsinsel,2198.0,,Not green space,16.280713999046633
TEST-00114,CH831072941417,6012384175,uebrige_humusierte,2198.0,,Green space (soil-covered),177.77467200921984
TEST-00114,CH831072941417,6012540341,Verkehrsinsel,2198.0,,Not green space,26.117890998522228
TEST-00114,CH831072941417,6012540347,Verkehrsinsel,2198.0,,Not green space,16.19876100180013
TEST-00114,CH831072941417,6012540345,Verkehrsinsel,2198.0,,Not green space,54.89121421005489
TEST-00114,CH831072941417,6012540351,Verkehrsinsel,2198.0,,Not green space,21.714408501692716
TEST-00114,CH831072941417,6012540355,Verkehrsinsel,2198.0,,Not green space,5.844706000155543
TEST-00114,CH831072941417,6012540361,Verkehrsinsel,2198.0,,Not green space,11.300550254347067
TEST-00114,CH831072941417,6012384717,Gartenanlage,2198.0,,Green space (soil-covered),0.0015174999441533998
TEST-00114,CH831072941417,6012384718,uebrige_befestigte,2198.0,,Not green space,0.0018979958860772662
TEST-00088,CH567410943939,6012361792,Gartenanlage,2206.0,,Green space (soil-covered),306.6169862813185
TEST-00088,CH567410943939,6012357348,Gebaeude,2206.0,3092897,Not green space,140.41339050113478
TEST-00088,CH567410943939,6012361772,uebrige_befestigte,2206.0,,Not green space,98.62988621886619
TEST-00832,CH554685740108,6012553104,Strasse_Weg,2306.0,,Not green space,19.32069252394826
TEST-00832,CH554685740108,6012262849,uebrige_humusierte,2306.0,,Green space (soil-covered),747.6627404835921
TEST-00832,CH554685740108,6012262850,uebrige_humusierte,2306.0,,Green space (soil-covered),1168.0089725903654
TEST-00832,CH554685740108,6012262851,Acker_Wiese_Weide,2306.0,,Green space (soil-covered),0.0042997826231721565
TEST-00832,CH554685740108,6012262855,Acker_Wiese_Weide,2306.0,,Green space (soil-covered),0.2674561815350365
TEST-00832,CH554685740108,6012545365,Gewaesser_fliessendes,2306.0,,Not green space,887.5197938948357
TEST-00194,CH791097649429,6012301286,uebrige_befestigte,2148.0,,Not green space,324.5295391899498
TEST-00194,CH791097649429,6012302125,uebrige_befestigte,2148.0,,Not green space,0.0031652156407887596
TEST-00194,CH791097649429,6012302709,Gartenanlage,2148.0,,Green space (soil-covered),0.0038461705398482593
TEST-00194,CH791097649429,6012301014,Gartenanlage,2148.0,,Green space (soil-covered),289.38105711025685
TEST-00194,CH791097649429,6012300190,Gebaeude,2148.0,1516172,Not green space,182.7048100017115
TEST-00472,CH119449108886,6012520171,geschlossener_Wald,2115.0,,Green space (wooded),5236.198246011423
TEST-00472,CH119449108886,6012548914,Gewaesser_fliessendes,2115.0,,Not green space,23.2869254739628
TEST-00107,CH409894931060,6012319805,Gartenanlage,2309.0,,Green space (soil-covered),0.0022916899827514214
TEST-00107,CH409894931060,6012318454,Acker_Wiese_Weide,2309.0,,Green space (soil-covered),13788.47550980722
TEST-00785,CH698572620111,6012321120,Gebaeude,2117.0,3120861,Not green space,350.7784680002449
TEST-00785,CH698572620111,6012321232,Gartenanlage,2117.0,,Green space (soil-covered),362.9046861646172
TEST-00785,CH698572620111,6012321233,uebrige_befestigte,2117.0,,Not green space,300.7391453341023
TEST-00661,CH738572016401,6012321826,Acker_Wiese_Weide,2117.0,,Green space (soil-covered),3719.4604265083544
TEST-00490,CH949410973307,6012291406,Gartenanlage,2152.0,,Green space (soil-covered),6.91397506258205
TEST-00490,CH949410973307,6012289582,Acker_Wiese_Weide,2152.0,,Green space (soil-covered),1411.4809274234876
TEST-00490,CH949410973307,6012542997,Gewaesser_fliessendes,2152.0,,Not green space,2.887598129046923
TEST-00490,CH949410973307,6012290677,uebrige_bestockte,2152.0,,Green space (wooded),47.03483137982349
TEST-00632,CH379492651028,6012532262,geschlossener_Wald,2155.0,,Green space (wooded),134.6176571445025
TEST-00632,CH379492651028,6012546486,Gewaesser_fliessendes,2155.0,,Not green space,0.0016404837127920872
TEST-00632,CH379492651028,6012427069,Acker_Wiese_Weide,2155.0,,Green space (soil-covered),1537.3815523782996
TEST-00262,CH629116109413,6012440078,Acker_Wiese_Weide,2275.0,,Green space (soil-covered),0.008689112872160919
TEST-00262,CH629116109413,6012563778,Strasse_Weg,2275.0,,Not green space,2175.504682508687
TEST-00262,CH629116109413,6012440435,uebrige_Intensivkultur,2275.0,,Not green space,0.007421544214480142
TEST-00262,CH629116109413,6012440440,Acker_Wiese_Weide,2275.0,,Green space (soil-covered),0.010893838234344543
TEST-00714,CH768910946624,6012562068,Strasse_Weg,2275.0,,Not green space,49.14143688878448
TEST-00714,CH768910946624,6012438343,Acker_Wiese_Weide,2275.0,,Green space (soil-covered),0.003694227272688977
TEST-00714,CH768910946624,6012438253,Bahn,2275.0,,Not green space,2108.3461587406937
TEST-00714,CH768910946624,6012438254,Bahn,2275.0,,Not green space,1575.9624390439533
TEST-00714,CH768910946624,6012438259,Acker_Wiese_Weide,2275.0,,Green space (soil-covered),0.0035960905228214373
TEST-00954,CH491091949495,6012561410,Strasse_Weg,2053.0,,Not green space,53.74129476314084
TEST-00954,CH491091949495,6012454599,Acker_Wiese_Weide,2053.0,,Green space (soil-covered),399.3596443022045
TEST-00954,CH491091949495,6012455116,Gartenanlage,2053.0,,Green space (soil-covered),30.036234969382743
TEST-00954,CH491091949495,6012448504,uebrige_befestigte,2053.0,,Not green space,0.0020164701374527313
TEST-00197,CH831083943096,6012528006,geschlossener_Wald,2163.0,,Green space (wooded),465.24914918353255
TEST-00197,CH831083943096,6012527276,geschlossener_Wald,2163.0,,Green space (wooded),10575.533340407626
TEST-00197,CH831083943096,6012547187,Gewaesser_fliessendes,2163.0,,Not green space,958.7614529170556
TEST-00425,CH331082942190,6012498722,Gebaeude,2234.0,1528047,Not green space,16.826555800260493
TEST-00425,CH331082942190,6012497981,Gartenanlage,2234.0,,Green space (soil-covered),68.76013689607649
TEST-00425,CH331082942190,6012499630,Acker_Wiese_Weide,2234.0,,Green space (soil-covered),13.137795803054509
TEST-00278,CH179481771062,6012499853,Acker_Wiese_Weide,2234.0,,Green space (soil-covered),5116.39022177333
TEST-00672,CH182010949953,6012543913,Gewaesser_fliessendes,2294.0,,Not green space,126.33771163637988
TEST-00672,CH182010949953,6012338743,Acker_Wiese_Weide,2294.0,,Green space (soil-covered),173.71208459956077
TEST-00672,CH182010949953,6012533594,geschlossener_Wald,2294.0,,Green space (wooded),2660.320013809139
TEST-00672,CH182010949953,6012532542,geschlossener_Wald,2294.0,,Green space (wooded),0.006200973920520925
TEST-00672,CH182010949953,6012532543,geschlossener_Wald,2294.0,,Green space (wooded),4240.66659999658
TEST-00201,CH187733837711,6028390175,Strasse_Weg,1706.0,,Not green space,77.7698367768728
TEST-00201,CH187733837711,6028262711,Gartenanlage,1706.0,,Green space (soil-covered),112.68293921207055
TEST-00201,CH187733837711,6028262712,Trottoir,1706.0,,Not green space,49.92061667058962
TEST-00201,CH187733837711,6028262716,Gebaeude,1706.0,190543116,Not green space,383.2290779994812
TEST-00201,CH187733837711,6028262755,uebrige_befestigte,1706.0,,Not green space,533.8349858792764
TEST-00201,CH187733837711,6028262759,Gartenanlage,1706.0,,Green space (soil-covered),918.104135964054
TEST-00367,CH346506747884,6028332033,Gebaeude,1711.0,90000470,Not green space,73.18772450105439
TEST-00367,CH346506747884,6028378651,geschlossener_Wald,1711.0,,Green space (wooded),10.996911791646745
TEST-00367,CH346506747884,6028338719,uebrige_befestigte,1711.0,,Not green space,1328.6857080050195
TEST-00367,CH346506747884,6028327462,uebrige_befestigte,1711.0,,Not green space,88.99234800001838
TEST-00367,CH346506747884,6028347468,Gebaeude,1711.0,191987690,Not green space,7.500001000000095
TEST-00367,CH346506747884,6028334198,Gebaeude,1711.0,191987687,Not green space,14.903215999547639
TEST-00367,CH346506747884,6028328631,Gartenanlage,1711.0,,Green space (soil-covered),1574.1861211116168
TEST-00367,CH346506747884,6028328633,Gartenanlage,1711.0,,Green space (soil-covered),173.90732999806815
TEST-00367,CH346506747884,6028343493,Gebaeude,1711.0,190963609,Not green space,241.90466299915306
TEST-00367,CH346506747884,6028343497,uebrige_befestigte,1711.0,,Not green space,688.6284229753069
TEST-00367,CH346506747884,6028343499,Gartenanlage,1711.0,,Green space (soil-covered),2186.612383216676
TEST-00367,CH346506747884,6028343502,uebrige_befestigte,1711.0,,Not green space,1278.714958999799
TEST-00367,CH346506747884,6028343505,uebrige_befestigte,1711.0,,Not green space,1262.9754814989417
