ID,EGRID,fid,Art,BFSNr,GWR_EGID,Check_GreenSpace,area_m2,input_Bemerkung,bauzonen,bauzonen_m2,habitat,habitat_m2
TEST-00894,CH619420107989,6012210359,Acker_Wiese_Weide,2254.0,,Green space (soil-covered),5147.008764992318,,,,"8.2 Feldkulturen (Äcker); 4.5.1 Talfettwiesen (Fromentalwiese); 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 6.2.3 Waldmeister-Buchenwald",3489.1; 1611.7; 0.2; 46.0
TEST-00458,CH629166109448,6012224851,Acker_Wiese_Weide,2138.0,,Green space (soil-covered),11.881085149473469,,,,9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 4.5.3 Talfettweide (Kammgrasweide),0.0; 11.9
TEST-00458,CH629166109448,6012225078,uebrige_befestigte,2138.0,,Not green space,4.729051750932121,,,,,
TEST-00458,CH629166109448,6012581948,Strasse_Weg,2138.0,,Not green space,0.08002759763589971,,,,,
TEST-00042,CH579491531005,6012224934,Gartenanlage,2138.0,,Green space (soil-covered),399.8659281497551,,Wohnzonen,399.9,"9.2 Bauten; 4.0.0.0.1 Rasen, dynamisch; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",0.4; 1.1; 398.0; 0.3
TEST-00042,CH579491531005,6012224941,Acker_Wiese_Weide,2138.0,,Green space (soil-covered),2.4386877744768127,,Wohnzonen,2.4,"4.0.0.0.1 Rasen, dynamisch; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",2.4; 0.1
TEST-00042,CH579491531005,6012225842,Gebaeude,2138.0,1514707,Not green space,92.25767650211598,,,,,
TEST-00042,CH579491531005,6012225881,uebrige_befestigte,2138.0,,Not green space,153.81092526475302,,,,,
TEST-00042,CH579491531005,6012581565,Strasse_Weg,2138.0,,Not green space,2.487534312629819,,,,,
TEST-00398,CH253710749462,6012368137,uebrige_befestigte,2097.0,,Not green space,22.459804877797662,,,,,
TEST-00398,CH253710749462,6012367945,uebrige_befestigte,2097.0,,Not green space,5.851223913723977,,,,,
TEST-00398,CH253710749462,6012367853,Gebaeude,2097.0,1507937,Not green space,192.70358670861606,,,,,
TEST-00114,CH831072941417,6012555869,Strasse_Weg,2198.0,,Not green space,0.0012520613244149104,,,,,
TEST-00114,CH831072941417,6012557495,Strasse_Weg,2198.0,,Not green space,0.0032984115303440475,,,,,
TEST-00114,CH831072941417,6012385032,Gartenanlage,2198.0,,Green space (soil-covered),0.0022285120366012535,,,,"8.2.3 Hackfruchtacker (Sommerkultur), Garten",0.0
TEST-00114,CH831072941417,6012384552,uebrige_befestigte,2198.0,,Not green space,21.09019046210357,,,,,
TEST-00114,CH831072941417,6012540205,Verkehrsinsel,2197.0,,Not green space,1.2634531752882487,,,,,
TEST-00114,CH831072941417,6012384593,Gartenanlage,2198.0,,Green space (soil-covered),0.0058336531183913465,,Wohnzonen,0.0,"4.0.0.0.3 Rasen, nicht dynamisch; 4.0.3 Begrünung in Tieflagen (Strassenböchungen, etc.)",0.0; 0.0
TEST-00114,CH831072941417,6012384597,Trottoir,2198.0,,Not green space,992.531290803097,,,,,
TEST-00114,CH831072941417,6012384096,Trottoir,2198.0,,Not green space,0.30881343887394397,,,,,
TEST-00114,CH831072941417,6012384614,Gartenanlage,2198.0,,Green space (soil-covered),0.010683315361347923,,Wohnzonen,0.0,"8.2.3 Hackfruchtacker (Sommerkultur), Garten",0.0
TEST-00114,CH831072941417,6012384102,Gartenanlage,2198.0,,Green space (soil-covered),130.48439640385243,,Wohnzonen,0.7,"4.0.0.0.3 Rasen, nicht dynamisch; 4.0.0.0.3 Rasen, nicht dynamisch; 8.2.3 Hackfruchtacker (Sommerkultur), Garten",0.2; 123.4; 0.6
TEST-00114,CH831072941417,6012384119,Gartenanlage,2198.0,,Green space (soil-covered),0.004345530921468676,,,,"8.2.3 Hackfruchtacker (Sommerkultur), Garten",0.0
TEST-00114,CH831072941417,6012385169,uebrige_humusierte,2198.0,,Green space (soil-covered),15.050547822413137,,Wohnzonen,0.0,"9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 4.0.3 Begrünung in Tieflagen (Strassenböchungen, etc.)",0.0; 14.9
TEST-00114,CH831072941417,6012385170,uebrige_humusierte,2198.0,,Green space (soil-covered),20.274534002186822,,Wohnzonen,0.5,"8.2.3 Hackfruchtacker (Sommerkultur), Garten; 4.0.0.0.3 Rasen, nicht dynamisch",0.2; 19.4
TEST-00114,CH831072941417,6012385171,uebrige_humusierte,2198.0,,Green space (soil-covered),31.564189508434357,,Wohnzonen,0.1,"8.2.3 Hackfruchtacker (Sommerkultur), Garten; 4.0.0.0.2 Rasen, mittel dynamisch",0.1; 30.8
TEST-00114,CH831072941417,6012540325,Verkehrsinsel,2198.0,,Not green space,16.722521500493897,,,,,
TEST-00114,CH831072941417,6012384678,Acker_Wiese_Weide,2198.0,,Green space (soil-covered),0.0025255578861180794,,,,,
TEST-00114,CH831072941417,6012554662,Strasse_Weg,2198.0,,Not green space,3518.106854834939,,,,,
TEST-00114,CH831072941417,6012540331,Verkehrsinsel,2198.0,,Not green space,16.280713999046633,,,,,
TEST-00114,CH831072941417,6012384175,uebrige_humusierte,2198.0,,Green space (soil-covered),177.77467200921984,,Wohnzonen,2.0,"8.2.3 Hackfruchtacker (Sommerkultur), Garten; 4.0.3 Begrünung in Tieflagen (Strassenböchungen, etc.)",2.4; 174.4
TEST-00114,CH831072941417,6012540341,Verkehrsinsel,2198.0,,Not green space,26.117890998522228,,,,,
TEST-00114,CH831072941417,6012540347,Verkehrsinsel,2198.0,,Not green space,16.19876100180013,,,,,
TEST-00114,CH831072941417,6012540345,Verkehrsinsel,2198.0,,Not green space,54.89121421005489,,,,,
TEST-00114,CH831072941417,6012540351,Verkehrsinsel,2198.0,,Not green space,21.714408501692716,,,,,
TEST-00114,CH831072941417,6012540355,Verkehrsinsel,2198.0,,Not green space,5.844706000155543,,,,,
TEST-00114,CH831072941417,6012540361,Verkehrsinsel,2198.0,,Not green space,11.300550254347067,,,,,
TEST-00114,CH831072941417,6012384717,Gartenanlage,2198.0,,Green space (soil-covered),0.0015174999441533998,,Wohnzonen,0.0,,
TEST-00114,CH831072941417,6012384718,uebrige_befestigte,2198.0,,Not green space,0.0018979958860772662,,,,,
TEST-00088,CH567410943939,6012361792,Gartenanlage,2206.0,,Green space (soil-covered),306.6169862813185,,Wohnzonen,306.5,"9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",0.1; 305.9; 0.1
TEST-00088,CH567410943939,6012357348,Gebaeude,2206.0,3092897,Not green space,140.41339050113478,,,,,
TEST-00088,CH567410943939,6012361772,uebrige_befestigte,2206.0,,Not green space,98.62988621886619,,,,,
TEST-00832,CH554685740108,6012553104,Strasse_Weg,2306.0,,Not green space,19.32069252394826,,,,,
TEST-00832,CH554685740108,6012262849,uebrige_humusierte,2306.0,,Green space (soil-covered),747.6627404835921,,,,1.2 Fliessgewässer; 9.3.2 Asphalt- und Betonstrasse; 8.2 Feldkulturen (Äcker); 4.5.1 Talfettwiesen (Fromentalwiese); 4.5.1 Talfettwiesen (Fromentalwiese); 4.5.1 Talfettwiesen (Fromentalwiese),74.9; 0.1; 71.7; 88.2; 512.8; 0.0
TEST-00832,CH554685740108,6012262850,uebrige_humusierte,2306.0,,Green space (soil-covered),1168.0089725903654,,,,1.2 Fliessgewässer; 4.5.3 Talfettweide (Kammgrasweide); 6 Wälder; 9.3.2 Asphalt- und Betonstrasse; 4.5.1 Talfettwiesen (Fromentalwiese),21.9; 9.7; 6.9; 0.1; 1129.5
TEST-00832,CH554685740108,6012262851,Acker_Wiese_Weide,2306.0,,Green space (soil-covered),0.0042997826231721565,,,,8.2 Feldkulturen (Äcker); 4.5.1 Talfettwiesen (Fromentalwiese),0.0; 0.0
TEST-00832,CH554685740108,6012262855,Acker_Wiese_Weide,2306.0,,Green space (soil-covered),0.2674561815350365,,,,4.5.1 Talfettwiesen (Fromentalwiese),0.3
TEST-00832,CH554685740108,6012545365,Gewaesser_fliessendes,2306.0,,Not green space,887.5197938948357,,,,,
TEST-00194,CH791097649429,6012301286,uebrige_befestigte,2148.0,,Not green space,324.5295391899498,,,,,
TEST-00194,CH791097649429,6012302125,uebrige_befestigte,2148.0,,Not green space,0.0031652156407887596,,,,,
TEST-00194,CH791097649429,6012302709,Gartenanlage,2148.0,,Green space (soil-covered),0.0038461705398482593,,Wohnzonen,0.0,"8.2.3 Hackfruchtacker (Sommerkultur), Garten",0.0
TEST-00194,CH791097649429,6012301014,Gartenanlage,2148.0,,Green space (soil-covered),289.38105711025685,,Wohnzonen,289.4,"9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",0.1; 288.9; 0.5
TEST-00194,CH791097649429,6012300190,Gebaeude,2148.0,1516172,Not green space,182.7048100017115,,,,,
TEST-00472,CH119449108886,6012520171,geschlossener_Wald,2115.0,,Green space (wooded),5236.198246011423,,,,1.2 Fliessgewässer; 6.2.3 Waldmeister-Buchenwald,17.5; 5218.7
TEST-00472,CH119449108886,6012548914,Gewaesser_fliessendes,2115.0,,Not green space,23.2869254739628,,,,,
TEST-00107,CH409894931060,6012319805,Gartenanlage,2309.0,,Green space (soil-covered),0.0022916899827514214,,,,8.2 Feldkulturen (Äcker),0.0
TEST-00107,CH409894931060,6012318454,Acker_Wiese_Weide,2309.0,,Green space (soil-covered),13788.47550980722,,Wohnzonen,0.7,"9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 8.2 Feldkulturen (Äcker); 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 4 Grünland (Naturrasen, Wiesen und Weiden); 4.5.1 Talfettwiesen (Fromentalwiese)",0.3; 0.0; 13755.2; 0.4; 18.0; 14.5
TEST-00785,CH698572620111,6012321120,Gebaeude,2117.0,3120861,Not green space,350.7784680002449,,,,,
TEST-00785,CH698572620111,6012321232,Gartenanlage,2117.0,,Green space (soil-covered),362.9046861646172,,Wohnzonen; Zentrumszonen,0.0; 362.4,"4.5.1 Talfettwiesen (Fromentalwiese); 4.0.0.0.3 Rasen, nicht dynamisch; 9.2 Bauten; 8.2.3 Hackfruchtacker (Sommerkultur), Garten; 9.0.2 Versiegelte vegetationslose Fläche ohne erkennbare Nutzung",2.2; 0.1; 1.3; 359.2; 0.1
TEST-00785,CH698572620111,6012321233,uebrige_befestigte,2117.0,,Not green space,300.7391453341023,,,,,
TEST-00661,CH738572016401,6012321826,Acker_Wiese_Weide,2117.0,,Green space (soil-covered),3719.4604265083544,,,,4.0.1 Kunstwiese auf Fruchtfolgefläche; 4.5.1 Talfettwiesen (Fromentalwiese),3719.1; 0.4
TEST-00490,CH949410973307,6012291406,Gartenanlage,2152.0,,Green space (soil-covered),6.91397506258205,,Zentrumszonen,0.0,"4.0.0.0.3 Rasen, nicht dynamisch; 8.2.3 Hackfruchtacker (Sommerkultur), Garten",0.3; 6.6
TEST-00490,CH949410973307,6012289582,Acker_Wiese_Weide,2152.0,,Green space (soil-covered),1411.4809274234876,,Zentrumszonen,648.9,"4.0.0.0.3 Rasen, nicht dynamisch; 6 Wälder; 4.5.1 Talfettwiesen (Fromentalwiese); 4.5.3 Talfettweide (Kammgrasweide); 8.2.3 Hackfruchtacker (Sommerkultur), Garten",97.1; 120.8; 924.4; 269.2; 0.0
TEST-00490,CH949410973307,6012542997,Gewaesser_fliessendes,2152.0,,Not green space,2.887598129046923,,,,,
TEST-00490,CH949410973307,6012290677,uebrige_bestockte,2152.0,,Green space (wooded),47.03483137982349,,Zentrumszonen,0.0,6 Wälder; 4.5.1 Talfettwiesen (Fromentalwiese); 4.5.3 Talfettweide (Kammgrasweide),41.7; 1.8; 3.5
