ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00020,CH427760110057,1460,4436.0,EGRID in AV gefunden,429.0,428.59122549856335,
TEST-00276,CH690292570744,939,5236.0,EGRID in AV gefunden,52.0,51.69018699939914,
TEST-00002,CH333077237248,68,3237.0,EGRID in AV gefunden,731.0,730.8553099989372,
TEST-00957,CH916358659411,7689,6633.0,EGRID in AV gefunden,771.0,771.2649429971286,
TEST-00905,CH157852083037,2939,6034.0,EGRID in AV gefunden,40.0,40.3115445008217,
TEST-00357,CH210398947781,15246,191.0,EGRID in AV gefunden,2165.0,2165.152995493216,
TEST-00495,CH915439087137,5025,2939.0,EGRID in AV gefunden,1011.0,1010.8174714979524,
TEST-00777,CH508133760622,423,4259.0,EGRID in AV gefunden,557.0,557.3444719982675,
TEST-00191,CH427798124555,7107,67.0,EGRID in AV gefunden,393.0,392.7939369995338,
TEST-00644,CH885846358217,1103,354.0,EGRID in AV gefunden,687.0,687.0712685041758,
TEST-00374,CH143052524704,8158,6218.0,EGRID in AV gefunden,111.0,110.70600900133626,
TEST-00731,CH467726382827,873,1322.0,EGRID in AV gefunden,3545.0,3544.7205970118075,
TEST-00093,CH790220290763,1533,5002.0,EGRID in AV gefunden,11170.0,11169.716726018365,
TEST-00790,CH557915935029,3347,4080.0,EGRID in AV gefunden,3611.0,3611.010922006914,
TEST-00661,CH738572016401,1177,2117.0,EGRID in AV gefunden,3719.0,3719.4604265083535,
TEST-00114,CH831072941417,507,2198.0,EGRID in AV gefunden,5078.0,5077.557226028638,
TEST-00447,CH107714711852,1054,3338.0,EGRID in AV gefunden,682.0,682.2615470039823,
TEST-00066,CH179503278338,689,4045.0,EGRID in AV gefunden,3880.0,3879.753584505564,
TEST-00872,CH602335404652,4536,576.0,EGRID in AV gefunden,557.0,557.2002959963123,
TEST-00008,CH207946790751,820,1213.0,EGRID in AV gefunden,623.0,623.6039184960257,
TEST-00518,CH724255523016,9505,6137.0,EGRID in AV gefunden,417.0,416.959165502863,
TEST-00236,CH153746053538,179,768.0,EGRID in AV gefunden,753.0,752.5299704992622,
TEST-00900,CH890779813948,4455,2771.0,EGRID in AV gefunden,240.0,239.61279049756473,
TEST-00517,CH889446350295,3062,942.0,EGRID in AV gefunden,4407.0,4407.378889518217,
TEST-00682,CH153102050742,570,5304.0,EGRID in AV gefunden,213.0,212.75710999943396,
TEST-00275,CH396585776341,14401,6630.0,EGRID in AV gefunden,2457.0,2457.0213769990933,
TEST-00034,CH475084881516,609,4074.0,EGRID in AV gefunden,1316.0,1315.8598884965681,
TEST-00764,CH237677509101,2277,3444.0,EGRID in AV gefunden,30310.0,30310.296669988707,
TEST-00162,CH567717578953,1812,3253.0,EGRID in AV gefunden,486.0,486.1297189981901,
TEST-00803,CH932079080118,OB15913,230.0,EGRID in AV gefunden,130.0,129.59530599770193,
TEST-00200,CH394632443591,42,389.0,EGRID in AV gefunden,21692.0,21692.24566350922,
TEST-00716,CH407959411767,62,2822.0,EGRID in AV gefunden,706.0,705.9303864964712,
TEST-00205,CH235249300082,8375,6137.0,EGRID in AV gefunden,75.0,74.70432249868546,
TEST-00422,CH307757816901,1325,3312.0,EGRID in AV gefunden,89.0,88.62655100054326,
TEST-00128,CH445607773230,817,3714.0,EGRID in AV gefunden,14772.0,14772.126393001863,
TEST-00933,CH445043770589,2423,3402.0,EGRID in AV gefunden,213.0,212.7010864996733,
TEST-00592,CH466852300484,11943,6024.0,EGRID in AV gefunden,1093.0,1093.4706510090934,
TEST-00690,CH967756543616,892,3961.0,EGRID in AV gefunden,842.0,842.430673505323,
TEST-00820,CH251322786933,1555,1630.0,EGRID in AV gefunden,1081.0,1080.8292935006102,
TEST-00131,CH173777793752,1190,3022.0,EGRID in AV gefunden,952.0,951.6251940014125,
TEST-00109,CH957780782910,61876,4566.0,EGRID in AV gefunden,2308.0,2308.0546430009276,
TEST-00220,CH807742737680,840,3422.0,EGRID in AV gefunden,1393.0,1392.6352235000184,
TEST-00453,CH243546971181,1360,670.0,EGRID in AV gefunden,2289.0,2289.084610990187,
TEST-00673,CH327974896795,1623,2701.0,EGRID in AV gefunden,263.0,262.5409094985388,
TEST-00397,CH143546862438,1759,552.0,EGRID in AV gefunden,22017.0,22016.52993900353,
TEST-00913,CH440702163427,594,5230.0,EGRID in AV gefunden,826.0,825.5015830017319,
TEST-00878,CH579477844701,1641,3405.0,EGRID in AV gefunden,552.0,552.4821630061019,
TEST-00760,CH134616355619,2771,954.0,EGRID in AV gefunden,301.0,301.4882645000538,
TEST-00261,CH986602078550,524,5097.0,EGRID in AV gefunden,539.0,540.539364999905,
TEST-00454,CH310751020036,1412,5250.0,EGRID in AV gefunden,220.0,219.49835599768238,
TEST-00321,CH981301667859,10418,3762.0,EGRID in AV gefunden,432.0,431.6321365009929,
TEST-00705,CH757845850677,1514,4283.0,EGRID in AV gefunden,500.0,499.84602899967643,
TEST-00863,CH873099255249,1351,6135.0,EGRID in AV gefunden,152.0,152.2136444985505,
TEST-00184,CH554507794695,1882,1213.0,EGRID in AV gefunden,13.0,12.555209000152683,
TEST-00207,CH394612013512,178,782.0,EGRID in AV gefunden,2273.0,2272.520297496288,
TEST-00028,CH776978562229,1127,1630.0,EGRID in AV gefunden,765.0,765.4079849977121,
TEST-00876,CH300907480228,1849,5192.0,EGRID in AV gefunden,1038.0,1037.934735500771,
TEST-00576,CH773382740654,321,4260.0,EGRID in AV gefunden,777.0,777.0390135021536,
TEST-00901,CH927771950417,4816,4551.0,EGRID in AV gefunden,10337.0,10337.320284985497,
TEST-00095,CH636583636892,4546,6628.0,EGRID in AV gefunden,561.0,561.244684503128,
TEST-00552,CH937681398161,352,4140.0,EGRID in AV gefunden,2221.0,2221.1895025068975,
TEST-00607,CH467953936810,403,1348.0,EGRID in AV gefunden,5245.0,5245.352930993082,
TEST-00561,CH887267897274,2385,4185.0,EGRID in AV gefunden,3195.0,3195.4231795062215,
TEST-00442,CH607703819469,18005,191.0,EGRID in AV gefunden,709.0,709.2510440004372,
TEST-00209,CH657146833574,136,310.0,EGRID in AV gefunden,7296.0,7295.7476744984315,
TEST-00642,CH288266157344,377,4305.0,EGRID in AV gefunden,307.0,307.1624739998502,
TEST-00352,CH712968807706,40884,4566.0,EGRID in AV gefunden,4940.0,4940.206733980581,
TEST-00679,CH283652301270,7998,6248.0,EGRID in AV gefunden,567.0,567.3024255042135,
TEST-00514,CH867797610480,7552,3392.0,EGRID in AV gefunden,2935.0,2934.687294490809,
TEST-00301,CH600435624614,398,769.0,EGRID in AV gefunden,50.0,50.10336799998374,
TEST-00302,CH888917887268,2960,3792.0,EGRID in AV gefunden,86.0,85.59598050195649,
TEST-00309,CH470798760233,1246,5118.0,EGRID in AV gefunden,859.0,858.9111120021735,
TEST-00504,CH257165771379,570,3213.0,EGRID in AV gefunden,24614.0,24614.001972497186,
TEST-00208,CH257774751633,503,4185.0,EGRID in AV gefunden,1126.0,1126.3958709894825,
TEST-00400,CH759973778081,13567,6076.0,EGRID in AV gefunden,69.0,69.38389449780335,
TEST-00912,CH870686883263,1340,2481.0,EGRID in AV gefunden,208.0,208.02948000389654,
TEST-00973,CH977136798409,,,EGRID fehlt oder nicht in AV,,,Nicht existierende EGRID (Testfall)
TEST-00042,CH579491531005,1637,2138.0,EGRID in AV gefunden,650.0,650.8607520002685,
TEST-00396,CH286232067839,78,2514.0,EGRID in AV gefunden,786.0,785.8153384962942,
TEST-00429,CH387432068958,2322,2499.0,EGRID in AV gefunden,489.0,489.1717999959969,
