ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung,GGF_m2,BUF_m2,UUF_m2,Sealed_m2,GreenSpace_m2,Abbau_Deponie_m2,Acker_Wiese_Weide_m2,Bahn_m2,Fels_m2,Gartenanlage_m2,Gebaeude_m2,Geroell_Sand_m2,Gewaesser_fliessendes_m2,Gewaesser_stehendes_m2,Gletscher_Firn_m2,Hoch_Flachmoor_m2,Reben_m2,Strasse_Weg_m2,Trottoir_m2,Verkehrsinsel_m2,Wasserbecken_m2,Wytweide_dicht_m2,Wytweide_offen_m2,geschlossener_Wald_m2,uebrige_Intensivkultur_m2,uebrige_befestigte_m2,uebrige_bestockte_m2,uebrige_humusierte_m2,uebrige_vegetationslose_m2
TEST-00020,CH427760110057,1460,4436.0,EGRID found in AV,429.0,428.59122549856335,,0.0,428.5912254985633,0.0,0.0,428.5912254985633,0.0,428.5912254985633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00276,CH690292570744,939,5236.0,EGRID found in AV,52.0,51.69018699939914,,0.0,51.69018699830585,0.0,24.418139755765566,27.272047242540282,0.0,22.3311757648305,0.0,0.0,4.940871477709779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.920407861270743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.497731894494825,0.0,0.0,0.0
TEST-00002,CH333077237248,68,3237.0,EGRID found in AV,731.0,730.8553099989372,,0.0,730.854737990029,0.0,357.0252044678365,373.8295335221925,0.0,0.0,0.0,0.0,373.8295335221925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0252044678365,0.0,0.0,0.0
TEST-00957,CH916358659411,7689,6633.0,EGRID found in AV,771.0,771.2649429971286,,151.32297499900335,619.9419443245953,0.0,454.93213922367045,316.33278009992824,0.0,0.0,0.0,0.0,316.33278009992824,151.32297499900335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.6091642246671,0.0,0.0,0.0
TEST-00905,CH157852083037,2939,6034.0,EGRID found in AV,40.0,40.3115445008217,,0.0,40.3115445008217,0.0,0.0,40.3115445008217,0.0,0.0,0.0,0.0,40.3115445008217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00357,CH210398947781,15246,191.0,EGRID found in AV,2165.0,2165.152995493216,,0.0,2165.150289669894,0.0,2164.965895338273,0.18439433162119684,0.0,0.0,0.0,0.0,0.18439433162119684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.7325245548188,419.14152567744827,0.0,0.0,0.0,0.0,0.0,0.0,0.09184510600592946,0.0,0.0,0.0
TEST-00495,CH915439087137,5025,2939.0,EGRID found in AV,1011.0,1010.8174714979524,,136.23266050314598,874.5848109944462,0.0,158.74323856701832,852.0742329305739,0.0,0.0,0.0,0.0,852.0742329305739,136.23266050314598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.51057806387235,0.0,0.0,0.0
TEST-00777,CH508133760622,423,4259.0,EGRID found in AV,557.0,557.3444719982675,,118.5489529969145,438.79551900012194,0.0,200.12650697401136,357.2179650230251,0.0,0.0,0.0,0.0,357.2179650230251,118.5489529969145,0.0,0.0,0.0,0.0,0.0,0.0,0.057636501097840576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.51991747599901,0.0,0.0,0.0
TEST-00191,CH427798124555,7107,67.0,EGRID found in AV,393.0,392.7939369995338,,96.63072448308118,296.16297806835183,0.0,150.45721928548562,242.33648326594735,0.0,0.0,0.0,0.0,242.33648326594735,96.63072448308118,0.0,0.0,0.0,0.0,0.0,0.0,0.0035456283569281766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82294917404753,0.0,0.0,0.0
TEST-00644,CH885846358217,1103,354.0,EGRID found in AV,687.0,687.0712685041758,,138.61438849911548,548.4568800050604,0.0,195.30283949992747,491.7684290042484,0.0,0.0,0.0,0.0,491.7684290042484,138.61438849911548,0.0,0.0,0.0,0.0,0.0,0.0,56.688451000812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
